    Fid,Gender,Age,AttendanceRate,GPA,Major,University,Studentname,Institution_Type,Year
239.255.255.250-10.42.0.151-1900-58596-17,Male,24,90.75,3.47,Arts,"Stanford University, USA",Camila Wood,Private,2023
10.42.0.151-10.42.0.1-5153-53-17,Female,22,74.9,2.32,Education,"Stanford University, USA",Alexander Thompson,Private,2023
203.205.158.62-10.42.0.151-80-43183-6,Male,22,53.36,2.38,Business,"Harvard University, USA",Liam Taylor,Public,2023
10.42.0.151-98.139.180.180-38602-443-6,Male,24,70.26,3.46,Science,"Stanford University, USA",Evelyn Jenkins,Private,2023
10.42.0.211-34.192.69.195-60313-80-6,Male,18,74.87,2.31,Education,"Harvard University, USA",Michael Jackson,Private,2023
10.42.0.151-52.52.43.76-58788-443-6,Female,20,86.01,2.47,Business,"Stanford University, USA",Chloe Moore,Private,2023
10.42.0.211-115.239.210.141-47691-80-6,Male,19,55.33,3.93,Arts,"Harvard University, USA",Nicholas Clark,Private,2023
10.42.0.151-10.42.0.1-20994-53-17,Male,18,57,2.51,Education,"Stanford University, USA",Olivia Richardson,Private,2023
10.42.0.151-31.13.80.8-58700-443-6,Male,19,63.18,3.32,Business,"Stanford University, USA",Aiden Rivera,Public,2023
172.217.10.226-10.42.0.211-443-45345-6,Female,24,63.32,3.96,Engineering,"Harvard University, USA",Harper Turner,Private,2023
10.42.0.151-103.7.30.118-43688-80-6,Male,23,86.61,2.75,Engineering,"Stanford University, USA",Madison Lee,Public,2023
224.0.0.251-10.42.0.151-5353-5353-17,Male,19,62.54,2.04,Science,"Harvard University, USA",Carter Hall,Private,2023
10.42.0.151-10.42.0.1-20472-53-17,Male,20,81.65,2.49,Business,"Harvard University, USA",Mia Thomas,Private,2023
10.42.0.211-23.206.166.62-37011-80-6,Male,23,74.71,3.66,Engineering,"University of Oxford, UK",Lucas Evans,Private,2023
172.217.10.74-10.42.0.151-443-36831-6,Female,19,78.66,3.73,Arts,"Harvard University, USA",Abigail Bailey,Private,2023
192.229.173.173-10.42.0.151-80-59839-6,Male,24,91.91,3.54,Business,"Harvard University, USA",Joseph Diaz,Private,2023
172.217.7.163-10.42.0.42-443-40740-6,Female,23,70.22,2.23,Arts,"University of Cambridge, UK",William Walker,Public,2023
172.217.12.131-10.42.0.151-443-41229-6,Female,24,88.55,3.59,Arts,"University of Oxford, UK",Andrew Anderson,Public,2023
10.42.0.211-10.42.0.1-22757-53-17,Female,19,71.1,3.84,Engineering,"Harvard University, USA",Sophia King,Private,2023
172.217.6.229-10.42.0.151-443-36455-6,Male,24,67.69,3.2,Business,"Harvard University, USA",Avery Gonzalez,Private,2023
203.205.147.229-10.42.0.151-80-34424-6,Female,20,97.93,3.88,Education,"Harvard University, USA",Lily Davis,Private,2023
10.42.0.211-77.234.44.200-51016-80-6,Male,19,59.22,3.65,Engineering,"Stanford University, USA",Scarlett Cooper,Public,2023
172.217.6.193-10.42.0.211-443-53413-6,Female,19,54.52,3.33,Engineering,"Stanford University, USA",Grace Reed,Private,2023
203.205.179.172-10.42.0.211-80-47191-6,Female,19,88.55,3.15,Business,"Harvard University, USA",Matthew Johnson,Private,2023
10.42.0.151-64.71.142.124-36276-80-6,Female,18,53.41,2.7,Business,"Stanford University, USA",Jackson Baker,Public,2023
216.58.219.234-10.42.0.211-443-56945-6,Female,18,91.85,2.32,Arts,"Harvard University, USA",Ella Martinez,Private,2023
10.42.0.1-10.42.0.42-53-39659-17,Female,18,71.86,3.21,Business,"Stanford University, USA",Henry Perez,Private,2023
10.42.0.151-121.31.30.143-57555-80-6,Female,20,95.78,2.64,Arts,"Stanford University, USA",Ava White,Private,2023
10.42.0.151-31.13.80.52-57546-80-6,Female,23,86.08,3.73,Engineering,"Stanford University, USA",Gabriel Miller,Private,2023
157.240.18.10-10.42.0.151-443-34267-6,Female,24,80.52,3.99,Science,"Stanford University, USA",Mia Brown,Private,2023
10.42.0.211-66.102.255.40-43829-443-6,Male,22,97.47,3.5,Education,"Harvard University, USA",Layla Garcia,Private,2023
172.217.9.234-10.42.0.151-443-43159-6,Male,19,69.83,2.18,Engineering,"Stanford University, USA",Emma Stewart,Private,2023
10.42.0.151-104.193.88.109-58875-80-6,Female,24,97.7,2.58,Business,"University of Oxford, UK",Daniel Adams,Private,2023
10.42.0.211-66.198.24.250-59005-80-6,Female,19,56.75,2.22,Education,"Stanford University, USA",Logan Smith,Private,2023
10.42.0.211-10.42.0.1-5698-53-17,Female,20,74.19,3.3,Science,"Stanford University, USA",James Harris,Private,2023
180.76.152.193-10.42.0.211-80-48236-6,Male,19,63.5,3.53,Science,"Harvard University, USA",Benjamin Martin,Private,2023
172.217.6.206-10.42.0.211-80-50287-6,Female,18,76.99,3.85,Arts,"Harvard University, USA",Elijah Robinson,Public,2023
10.42.0.151-10.42.0.1-39701-53-17,Male,22,58.1,2.88,Education,"Harvard University, USA",Zoey Hayes,Private,2023
10.42.0.151-10.42.0.1-30733-53-17,Male,21,92.08,3.8,Arts,"Harvard University, USA",Samuel Phillips,Public,2023
10.42.0.211-114.134.80.163-40022-80-6,Male,19,92.32,3.76,Engineering,"Harvard University, USA",Emily Williams,Public,2023
172.217.10.42-10.42.0.211-443-42024-6,Male,24,97.76,2.63,Education,"Stanford University, USA",Sofia Lewis,Private,2023
172.217.10.138-10.42.0.151-443-46680-6,Male,18,57.73,3.74,Engineering,"University of Oxford, UK",Amelia Young,Private,2023
10.42.0.211-104.192.110.245-37919-80-6,Female,21,81.17,2.75,Arts,"Harvard University, USA",Charlotte Wilson,Private,2023
172.217.12.129-10.42.0.211-443-33622-6,Female,22,73.71,2.59,Education,"Harvard University, USA",Jack Scott,Private,2023
172.217.12.170-10.42.0.42-443-60010-6,Female,21,67.22,3.3,Arts,"Harvard University, USA",Noah Parker,Private,2023
10.42.0.211-104.192.110.245-37617-443-6,Female,18,67.58,2.66,Education,"Harvard University, USA",David Rodriguez,Private,2023
